seed	vmh
cpd11434	aihpdcoa
cpd11435	itdcoa
cpd11436	fa3
cpd11437	ipdcoa
cpd11438	fa4
cpd11439	aipdcoa
cpd11440	fa6
cpd11441	ihdcoa
cpd11451	mql7
cpd11459	tcam
cpd11464	butACP
cpd11465	2beACP
cpd11466	myrsACP
cpd11467	tmrs2eACP
cpd11468	ddcaACP
cpd11469	2tddACP
cpd11470	ocACP
cpd11471	2toceACP
cpd11472	hexACP
cpd11473	2theACP
cpd11474	dcaACP
cpd11475	2tdeACP
cpd11476	palmACP
cpd11477	tpalm2eACP
cpd11478	3hbACP
cpd11479	3hhACP
cpd11480	3hddACP
cpd11481	3hpaACP
cpd11482	3hdeACP
cpd11483	3hocACP
cpd11484	3hmrsACP
cpd11485	3oxhdACP
cpd11486	3oxhACP
cpd11487	3oxdeACP
cpd11488	actACP
cpd11489	3oxddACP
cpd11490	3oxocACP
cpd11491	3oxtdACP
cpd11492	malACP
cpd11493	ACP
cpd11494	acACP
cpd11495	2mbutACP
cpd11496	4m3ohexACP
cpd11497	4m3hhexACP
cpd11498	4mthex2eACP
cpd11499	4mhexACP
cpd11500	6m3oocACP
cpd11501	6m3hocACP
cpd11502	6mtoct2eACP
cpd11503	6mocACP
cpd11504	8m3odcaACP
cpd11505	8m3hdcaACP
cpd11506	8mtdec2eACP
cpd11507	8mdcaACP
cpd11508	10m3oddcaACP
cpd11509	10m3hddcaACP
cpd11510	10mtddec2eACP
cpd11511	10mddcaACP
